# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"NADOLOL","Vaginal discharge","3","4","3","11990","1713.286","1782.648","1","92.0","1"
"ENDOCET","Dependence","9","0","7","11984","1713.0","6016.373","1","7.0","0"
"NICOTINAMIDE","Onychomadesis","6","8","3","11983","1712.286","2875.472","1","80.5","1"
"ENTYVIO","Proctitis","3","18","1","11978","1711.286","889.717","1","92.0","1"
"ENTYVIO","Vaginal flatulence","3","18","1","11978","1711.286","889.717","1","92.0","1"
"PHTHALYLSULFATHIAZOLE","Onychomycosis","8","20","2","11970","1710.286","2403.344","1","81.0","1"
"PHTHALYLSULFATHIAZOLE","Adjustment disorder with depressed mood","4","24","1","11971","1710.286","1045.887","1","71.5","1"
"PHTHALYLSULFATHIAZOLE","X-ray abnormal","4","24","1","11971","1710.286","1045.887","1","70.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Onychomadesis","5","4","4","11987","1665.417","2995.498","1","84.0","1"
"MAGNESIUM CITRATE","Onychomycosis","7","10","3","11980","1644.725","2976.06","1","78.0","1"
"CLOZARIL","Eosinophil count decreased","3","8","2","11987","1634.864","1360.454","1","3.0","0"
"DOLIPRANE","Aortitis","3","8","2","11987","1634.864","1360.454","1","10.0","0"
"ENBREL","Onychomycosis","9","58","1","11932","1602.94","1285.327","1","78.0","1"
"AZATHIOPRINE SODIUM","Finger deformity","4","1","6","11989","1599.333","2936.674","1","75.0","1"
"BOTULINUM TOXIN TYPE A","Blepharospasm","9","8","4","11979","1585.985","3915.879","1","73.0","1"
"DESOXIMETASONE","Nail disorder","9","25","2","11964","1583.735","2309.869","1","73.0","1"
"LEFLUNOMIDE","Onychomycosis","9","60","1","11930","1556.217","1247.788","1","78.0","1"
"BUTRANS","Finger deformity","7","11","3","11979","1553.222","2810.235","1","77.0","1"
