# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"FENTANYL","Drug dependence","3","91","23","11883","16.521","26.152","1","5.0","0"
"TAMSULOSIN","Hot flush","8","67","77","11848","16.519","92.645","1","11.0","0"
"CIMZIA","Chest pain","6","37","101","11856","16.519","69.141","1","64.5","1"
"DICLOFENAC POTASSIUM","Visual impairment","3","22","87","11888","16.517","28.796","1","48.0","1"
"METHAMPHETAMINE","Overdose","3","22","87","11888","16.517","28.796","1","6.0","0"
"LYRICA","Infusion related reaction","6","70","57","11867","16.515","65.976","1","57.5","1"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Swelling","4","38","69","11889","16.505","41.598","1","79.5","1"
"COLACE","Gait disturbance","3","15","121","11861","16.504","29.132","1","22.0","0"
"GOLD SODIUM THIOMALATE","Gait disturbance","3","15","121","11861","16.504","29.132","1","70.0","1"
"QUETIAPINE","Hallucination","6","97","42","11855","16.501","63.633","1","11.5","0"
"MAGNESIUM","Liver injury","4","116","24","11856","16.5","37.492","1","54.0","1"
"MAGNESIUM","Immunodeficiency","3","117","18","11862","16.5","25.268","1","46.0","1"
"ATIVAN","Decreased appetite","5","17","165","11813","16.499","57.199","1","75.0","1"
"QUETIAPINE FUMARATE","Hypoaesthesia","6","49","79","11866","16.495","67.826","1","71.0","1"
"LISINOPRIL","Rheumatic fever","4","187","15","11794","16.487","34.411","1","65.5","1"
"LISINOPRIL","Wound infection","4","187","15","11794","16.487","34.411","1","71.0","1"
"CHOLECALCIFEROL","Hypoaesthesia","13","117","72","11798","16.486","148.249","1","73.0","1"
"HYDROXYCHLOROQUINE","Dyspepsia","9","88","67","11836","16.484","102.697","1","73.0","1"
"KESIMPTA","Muscular weakness","3","30","66","11901","16.483","28.369","1","1.0","0"
"ERGOCALCIFEROL","Urticaria","7","33","127","11833","16.48","83.24","1","56.0","1"
"SULFAMETHOXAZOLE","Hypertension","5","18","158","11819","16.479","57.012","1","70.0","1"
"FOSAMAX","Pain","14","20","299","11667","16.479","184.721","1","76.0","1"
"ZOPICLONE","Lower respiratory tract infection","4","59","46","11891","16.476","40.308","1","45.5","1"
"VITAMIN C","Paraesthesia","12","119","66","11803","16.473","135.516","1","71.5","1"
"CALCIUM","Pericarditis","6","138","30","11826","16.467","60.358","1","59.5","1"
"CALCIUM","Pulmonary fibrosis","3","141","15","11841","16.467","24.481","1","48.0","1"
"DICLOFENAC POTASSIUM","Arthralgia","10","15","291","11684","16.46","129.046","1","57.5","1"
"CALCIUM GLUBIONATE","Chest pain","3","18","104","11875","16.455","28.873","1","75.0","1"
"SULFASALAZINE","Chest pain","11","72","96","11821","16.452","130.772","1","48.0","1"
"GRAVOL","Cough","3","6","243","11748","16.449","29.69","1","58.0","1"
"Lmx","Cough","3","6","243","11748","16.449","29.69","1","56.0","1"
"DIAZEPAM","Delirium","3","72","29","11896","16.448","26.688","1","14.0","0"
"SULFAMETHOXAZOLE\TRIMETHOPRIM","Amnesia","3","72","29","11896","16.448","26.688","1","73.0","1"
"OMALIZUMAB","Sinusitis","5","41","79","11875","16.447","54.802","1","9.0","0"
"VENTOLIN","Sinusitis","5","41","79","11875","16.447","54.802","1","7.0","0"
"OXYCODONE","Wheezing","9","96","62","11833","16.445","101.401","1","70.0","1"
"CARBOPLATIN","Febrile neutropenia","14","191","49","11746","16.439","146.677","1","5.0","0"
"FLUTICASONE PROPIONATE","Upper respiratory tract infection","3","63","33","11901","16.438","26.993","1","58.0","1"
"UNSPECIFIED INGREDIENT","Mobility decreased","3","49","42","11906","16.412","27.468","1","7.0","0"
"FISH OIL","Sinusitis","6","50","78","11866","16.407","67.344","1","29.5","1"
"FISH OIL","C-reactive protein increased","3","53","39","11905","16.407","27.306","1","67.0","1"
"VITAMIN D NOS","Sleep disorder due to a general medical condition","3","53","39","11905","16.407","27.306","1","14.0","0"
"INFLIXIMAB","Treatment failure","10","117","57","11816","16.401","110.77","1","66.5","1"
"ELIQUIS","Pericardial effusion","5","195","18","11782","16.389","45.045","1","21.0","0"
"DICLOFENAC","Rheumatoid arthritis","7","53","85","11855","16.388","80.322","1","52.0","1"
"FLUTICASONE FUROATE","Weight decreased","4","10","209","11777","16.386","43.364","1","61.5","1"
"NAPROXEN SODIUM","Malaise","10","18","261","11711","16.382","127.529","1","71.5","1"
"PHTHALYLSULFATHIAZOLE","Malaise","10","18","261","11711","16.382","127.529","1","74.0","1"
"SULFAMETHOXAZOLE","Insomnia","5","18","159","11818","16.375","56.617","1","48.0","1"
"RAMIPRIL","Alopecia","15","106","90","11789","16.362","173.902","1","73.0","1"
"RAMIPRIL","Cystitis","3","118","18","11861","16.362","25.023","1","58.0","1"
"RAMIPRIL","Erectile dysfunction","3","118","18","11861","16.362","25.023","1","7.0","0"
"RAMIPRIL","Neuralgia","3","118","18","11861","16.362","25.023","1","15.0","0"
"HYDROXYCHLOROQUINE","Hypoaesthesia","10","87","75","11828","16.362","114.774","1","79.0","1"
"FLUTICASONE FUROATE","Abdominal pain","3","11","157","11829","16.359","29.09","1","92.0","1"
"NICOTINAMIDE","Abdominal pain","3","11","157","11829","16.359","29.09","1","92.0","1"
"COSENTYX","Nasopharyngitis","22","69","176","11733","16.359","272.898","1","68.5","1"
"FOLIC ACID","Walking aid user","3","266","8","11723","16.354","21.085","1","68.0","1"
"ROSUVASTATIN","Blood pressure fluctuation","3","164","13","11820","16.351","23.652","1","9.0","0"
"METHYLPREDNISOLONE SODIUM SUCCINATE","Abdominal pain upper","8","37","130","11825","16.349","95.668","1","72.5","1"
"LEFLUNOMIDE","Arthralgia","26","43","275","11656","16.348","336.77","1","45.0","1"
"DICLOFENAC SODIUM","Bronchitis","4","69","40","11887","16.338","39.417","1","45.5","1"
"VITAMIN C","Migraine","11","120","61","11808","16.338","122.111","1","73.0","1"
"XELJANZ","Gastrooesophageal reflux disease","9","110","55","11826","16.338","98.978","1","77.0","1"
"OXYCODONE TEREPHTHALATE","Dyspnoea","10","9","386","11595","16.336","130.057","1","74.0","1"
"MAGNESIUM CITRATE","Pneumonia","6","11","259","11724","16.329","71.634","1","83.0","1"
"MEGLUMINE","Malaise","4","7","267","11722","16.328","43.584","1","71.5","1"
"SULFAMETHOXAZOLE\TRIMETHOPRIM","Gait inability","4","71","39","11886","16.308","39.235","1","74.0","1"
"ENBREL","Weight increased","13","54","142","11791","16.305","159.351","1","70.0","1"
"OXYCODONE HYDROCHLORIDE","Osteoarthritis","4","73","38","11885","16.299","39.111","1","75.0","1"
"FLUCONAZOLE","Febrile neutropenia","6","71","57","11866","16.299","64.99","1","13.5","0"
"HYDROXYCHLOROQUINE","Drug hypersensitivity","17","80","128","11775","16.298","204.556","1","73.0","1"
"HYDROXYCHLOROQUINE SULFATE","Drug-induced liver injury","3","47","44","11906","16.295","27.331","1","84.0","1"
"PREDNISONE","Lip dry","10","756","9","11225","16.295","60.582","1","71.5","1"
"QUETIAPINE FUMARATE","Gait inability","3","52","40","11905","16.289","27.131","1","75.0","1"
"QUETIAPINE FUMARATE","Lung disorder","3","52","40","11905","16.289","27.131","1","67.0","1"
"BERINERT","Rash","9","11","331","11649","16.287","114.496","1","78.0","1"
"RITUXAN","Constipation","3","13","138","11846","16.283","28.809","1","6.0","0"
"PLAQUENIL","Abdominal distension","3","32","63","11902","16.279","27.894","1","73.0","1"
"ISOPROPYL ALCOHOL","Dyspnoea","12","11","384","11593","16.273","157.491","1","74.0","1"
"SULFAMETHOXAZOLE","Nasopharyngitis","6","17","192","11785","16.273","70.384","1","46.5","1"
"CODEINE","Hypertension","7","26","156","11811","16.272","83.057","1","46.0","1"
"LISINOPRIL","Helicobacter infection","5","186","19","11790","16.27","45.201","1","67.0","1"
"MINOCYCLINE HYDROCHLORIDE","Rash","5","6","335","11654","16.267","57.979","1","66.0","1"
"ENTRESTO","Blood pressure decreased","3","55","38","11904","16.255","26.959","1","3.0","0"
"SULFASALAZINE","Psoriasis","6","77","53","11864","16.254","64.294","1","47.0","1"
"TOFACITINIB CITRATE","Pneumonia","7","13","258","11722","16.252","85.121","1","73.0","1"
"IBUPROFEN","Respiratory disorder","4","219","13","11764","16.25","32.746","1","28.0","1"
"CALCIUM CARBONATE","Inflammation","5","63","54","11878","16.247","52.456","1","84.0","1"
"AZATHIOPRINE","Osteoarthritis","5","94","37","11864","16.245","50.379","1","73.0","1"
"DOXORUBICIN","Chronic kidney disease","3","85","25","11887","16.244","25.894","1","5.0","0"
"ESCITALOPRAM","Nightmare","3","85","25","11887","16.244","25.894","1","9.0","0"
"LAMOTRIGINE","Liver injury","3","85","25","11887","16.244","25.894","1","1.0","0"
"FOSAMAX","Rash","15","19","325","11641","16.243","196.319","1","75.0","1"
"ZOPICLONE","Dyspepsia","6","57","70","11867","16.241","65.976","1","60.5","1"
"LEVETIRACETAM","Generalised tonic-clonic seizure","3","126","17","11854","16.239","24.59","1","9.0","0"
"CIPROFLOXACIN","Sleep disorder","3","45","46","11906","16.239","27.304","1","10.0","0"
"MEPOLIZUMAB","Blood pressure increased","4","21","118","11857","16.237","41.964","1","3.0","0"
"STELARA","Aphasia","3","134","16","11847","16.236","24.346","1","58.0","1"
"RIVOTRIL","Toxicity to various agents","4","14","164","11818","16.236","42.521","1","8.5","0"
"PANTOPRAZOLE SODIUM","Irritable bowel syndrome","6","145","29","11820","16.235","59.038","1","65.5","1"
"COSENTYX","Drug hypersensitivity","16","75","129","11780","16.232","192.357","1","74.0","1"
"CANDESARTAN","Amnesia","3","73","29","11895","16.23","26.278","1","70.0","1"
"RISEDRONATE SODIUM","Dizziness","6","10","277","11707","16.224","71.32","1","51.0","1"
"NAPROXEN SODIUM","Arthralgia","11","17","290","11682","16.218","140.524","1","73.0","1"
"METHYLPREDNISOLONE ACETATE","Pain","5","7","308","11680","16.218","57.567","1","62.0","1"
"PSEUDOEPHEDRINE","Pain","5","7","308","11680","16.218","57.567","1","84.0","1"
"ACTEMRA","Pain","21","32","292","11655","16.211","272.664","1","66.0","1"
"ISOPROPYL ALCOHOL","Pneumonia","8","15","257","11720","16.21","98.617","1","80.5","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Nausea","3","2","444","11551","16.209","29.868","1","73.0","1"
"KADCYLA","Nausea","3","2","444","11551","16.209","29.868","1","11.0","0"
"CHOLECALCIFEROL","Swelling","11","119","62","11808","16.2","121.244","1","70.0","1"
"FISH OIL","Hypoaesthesia","6","50","79","11865","16.199","66.436","1","56.5","1"
"ARAVA","Pneumonia","11","21","254","11714","16.197","139.157","1","75.0","1"
"ENBREL","Sinusitis","7","60","77","11856","16.191","78.54","1","70.0","1"
"ENBREL","Upper respiratory tract infection","3","64","33","11900","16.191","26.523","1","68.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Pneumonia","9","17","256","11718","16.191","112.122","1","73.0","1"
"XELJANZ","Lung disorder","6","113","37","11844","16.19","61.19","1","71.5","1"
"LAMIVUDINE","Drug interaction","3","17","111","11869","16.189","28.401","1","11.0","0"
"OFEV","Abdominal discomfort","3","17","111","11869","16.189","28.401","1","18.0","0"
"HYDROCORTISONE","Rectal haemorrhage","4","101","28","11867","16.184","37.457","1","37.0","1"
"AIMOVIG","Pain in extremity","8","26","174","11792","16.181","96.328","1","73.0","1"
"HUMAN IMMUNOGLOBULIN G","Upper respiratory tract infection","4","88","32","11876","16.179","38.065","1","42.0","1"
"HUMAN IMMUNOGLOBULIN G","Insurance issue","3","89","24","11884","16.179","25.654","1","33.0","1"
"ORENCIA","Treatment failure","11","133","56","11800","16.173","119.016","1","67.0","1"
"NICOTINE","Abdominal pain","4","15","156","11825","16.169","42.238","1","61.5","1"
"CODEINE","Insomnia","7","26","157","11810","16.169","82.483","1","44.0","1"
"ACETAMINOPHEN","Respiratory disorder","7","491","10","11492","16.167","49.723","1","46.0","1"
"CYMBALTA","Sinusitis","4","33","80","11883","16.166","40.969","1","36.0","1"
"SPIRIVA","Skin exfoliation","4","33","80","11883","16.166","40.969","1","33.0","1"
"CELLCEPT","Febrile neutropenia","3","34","60","11903","16.166","27.599","1","9.0","0"
"PANTOPRAZOLE SODIUM","Type 2 diabetes mellitus","7","144","34","11815","16.156","70.535","1","67.0","1"
"PAROXETINE HYDROCHLORIDE","Arthralgia","4","6","297","11693","16.148","43.207","1","12.0","0"
"SIRUKUMAB","Arthralgia","4","6","297","11693","16.148","43.207","1","78.5","1"
"WELLBUTRIN","Rheumatoid arthritis","3","22","89","11886","16.146","28.074","1","54.0","1"
"CIMZIA","Insomnia","9","34","155","11802","16.146","108.396","1","70.0","1"
"OTEZLA","Abdominal discomfort","5","29","109","11857","16.144","54.69","1","75.0","1"
"LENVATINIB MESYLATE","Myelosuppression","4","34","78","11884","16.143","40.843","1","2.0","0"
"TRASTUZUMAB","Myelosuppression","4","34","78","11884","16.143","40.843","1","3.0","0"
"PERIOGARD","Asthenia","5","11","232","11752","16.142","56.59","1","70.0","1"
"KEVZARA","Chest pain","6","38","101","11855","16.142","67.34","1","63.0","1"
"ZOPICLONE","Rash erythematous","4","59","47","11890","16.126","39.393","1","35.0","1"
"MAGNESIUM CITRATE","Pain","7","10","306","11677","16.125","85.062","1","77.0","1"
"BEVACIZUMAB","Disease progression","7","63","74","11856","16.122","77.867","1","8.0","0"
"ATORVASTATIN","Rhabdomyolysis","6","328","13","11653","16.121","48.144","1","3.0","0"
"PANTOPRAZOLE","Muscle injury","4","205","14","11777","16.119","33.012","1","47.0","1"
"METHOTREXATE SODIUM","C-reactive protein increased","3","54","39","11904","16.117","26.748","1","78.0","1"
"MORPHINE SULFATE","Osteoarthritis","3","54","39","11904","16.117","26.748","1","34.0","1"
"INFLECTRA","Nephrolithiasis","3","71","30","11896","16.116","26.149","1","3.0","0"
"XELJANZ","Hypersensitivity","15","104","93","11788","16.103","171.614","1","66.0","1"
"CYANOCOBALAMIN","Alopecia","6","39","99","11856","16.101","67.055","1","61.5","1"
"METHYLPREDNISOLONE SODIUM SUCCINATE","Crohn^s disease","4","41","66","11889","16.101","40.315","1","46.5","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Abdominal pain","5","19","155","11821","16.097","55.45","1","52.0","1"
"ALENDRONATE SODIUM\CHOLECALCIFEROL","Fatigue","6","2","559","11433","16.089","73.178","1","76.0","1"
"ERELZI","Rash","19","25","321","11635","16.084","246.646","1","70.0","1"
"LOPERAMIDE","Dehydration","3","33","62","11902","16.081","27.477","1","5.0","0"
"FOLIC ACID","General physical health deterioration","21","248","57","11674","16.067","207.055","1","67.0","1"
"FOLIC ACID","Liver function test increased","7","262","19","11712","16.067","61.585","1","73.0","1"
"MIRTAZAPINE","Urinary retention","3","108","20","11869","16.066","24.867","1","14.0","0"
"CALCIUM","Stomatitis","8","136","41","11815","16.065","82.575","1","50.0","1"
"ADALIMUMAB","Crohn^s disease","13","155","57","11775","16.063","138.147","1","2.0","0"
"ALENDRONATE SODIUM","Infection","6","41","95","11858","16.062","66.685","1","46.0","1"
"ARAVA","Decreased appetite","7","25","163","11805","16.061","82.03","1","75.0","1"
"FLUMETHASONE","Dizziness","3","5","280","11712","16.061","29.019","1","84.0","1"
"TRIAMCINOLONE ACETONIDE","Gastrooesophageal reflux disease","5","58","59","11878","16.057","52.154","1","89.0","1"
"METHYLPREDNISOLONE ACETATE","Pyrexia","4","8","249","11739","16.048","42.612","1","59.0","1"
"REMODULIN","Oxygen saturation decreased","4","58","48","11890","16.046","39.236","1","3.0","0"
"NINTEDANIB","Death","9","12","320","11659","16.043","112.335","1","1.0","0"
"GLUCOSAMINE","Rash","8","10","332","11650","16.04","98.746","1","61.5","1"
"DICLOFENAC DIETHYLAMINE","Decreased appetite","4","14","166","11816","16.04","41.951","1","73.5","1"
"METHYLPREDNISOLONE","Joint range of motion decreased","4","160","18","11818","16.038","34.579","1","78.5","1"
"RIFAMPIN","Treatment failure","3","32","64","11901","16.025","27.411","1","7.0","0"
"VOLTAREN","Urticaria","4","19","130","11847","16.023","41.495","1","68.5","1"
"IODINE","Fatigue","3","1","562","11434","16.009","29.786","1","70.0","1"
"LANREOTIDE ACETATE","Fatigue","3","1","562","11434","16.009","29.786","1","2.0","0"
"MAGNESIUM CHLORIDE","Fatigue","3","1","562","11434","16.009","29.786","1","14.0","0"
"CETIRIZINE HYDROCHLORIDE","Upper respiratory tract infection","4","89","32","11875","16.004","37.589","1","65.0","1"
"OLANZAPINE","Febrile neutropenia","7","86","56","11851","16.004","74.994","1","15.0","0"
"LETROZOLE","Malignant neoplasm progression","7","48","95","11850","16.003","78.871","1","3.0","0"
"OTEZLA","Abdominal pain upper","6","28","132","11834","15.997","67.725","1","78.0","1"
"FOSAMAX","Muscular weakness","3","31","66","11900","15.997","27.4","1","84.0","1"
"FISH OIL","Lung disorder","3","53","40","11904","15.996","26.566","1","67.0","1"
"ACETAMINOPHEN AND CODEINE","Dizziness","7","12","276","11705","15.993","83.846","1","73.0","1"
"OMALIZUMAB","Contusion","4","42","65","11889","15.992","39.96","1","10.0","0"
"INFLIXIMAB","Drug intolerance","13","114","76","11797","15.991","144.415","1","62.0","1"
"ACETAMINOPHEN\CODEINE PHOSPHATE","Pyrexia","3","6","250","11741","15.988","28.755","1","75.0","1"
"GRAVOL","Pyrexia","3","6","250","11741","15.988","28.755","1","58.0","1"
"PANTOPRAZOLE SODIUM ANHYDROUS","Pyrexia","3","6","250","11741","15.988","28.755","1","54.0","1"
"CITALOPRAM","Migraine","4","40","68","11888","15.984","40.052","1","8.0","0"
"HYDROCORTISONE","Drug intolerance","11","94","78","11817","15.976","123.338","1","66.0","1"
"DICLOFENAC POTASSIUM","Gait disturbance","4","21","120","11855","15.967","41.188","1","47.0","1"
"BOTULINUM TOXIN TYPE A","Malaise","6","11","265","11718","15.96","69.851","1","73.0","1"
"TRAMADOL HYDROCHLORIDE","Abdominal discomfort","7","42","107","11844","15.956","79.302","1","73.0","1"
"FERROUS FUMARATE","Insomnia","3","11","161","11825","15.953","28.276","1","45.0","1"
"FLUTICASONE FUROATE","Erythema","3","11","161","11825","15.953","28.276","1","92.0","1"
"CALCIUM CARBONATE","Upper respiratory tract infection","3","65","33","11899","15.952","26.067","1","68.0","1"
"CALCIUM CARBONATE","Gastrointestinal disorder","7","61","77","11855","15.952","77.211","1","73.0","1"
"METHOTREXATE","Lower limb fracture","4","411","7","11578","15.952","26.523","1","59.0","1"
"METHOTREXATE","Uveitis","4","411","7","11578","15.952","26.523","1","2.5","0"
"TRAMADOL HYDROCHLORIDE","Hypertension","10","39","153","11798","15.941","119.363","1","73.0","1"
"CHLORHEXIDINE GLUCONATE","Infection","3","20","98","11879","15.941","27.766","1","44.0","1"
"KETOPROFEN","Infection","3","20","98","11879","15.941","27.766","1","54.0","1"
"VOLTAREN","Infection","3","20","98","11879","15.941","27.766","1","39.0","1"
"CALCIUM","Blood cholesterol increased","6","138","31","11825","15.935","58.454","1","57.5","1"
"CALCIUM","Fibromyalgia","6","138","31","11825","15.935","58.454","1","57.5","1"
"CALCIUM","Night sweats","6","138","31","11825","15.935","58.454","1","59.5","1"
"ASCORBIC ACID","Memory impairment","3","21","94","11882","15.926","27.689","1","75.0","1"
"TOFACITINIB","Memory impairment","3","21","94","11882","15.926","27.689","1","70.0","1"
"PEMETREXED","Pancytopenia","4","56","50","11890","15.92","39.01","1","6.5","0"
"LORAZEPAM","Hand deformity","3","99","22","11876","15.906","24.887","1","75.0","1"
"SIMPONI","Insomnia","11","43","153","11793","15.905","131.509","1","66.0","1"
"CYCLOBENZAPRINE","Gastrooesophageal reflux disease","3","34","61","11902","15.901","27.097","1","37.0","1"
"NITROGLYCERIN","Colitis ulcerative","3","34","61","11902","15.901","27.097","1","92.0","1"
"CETIRIZINE","Dry mouth","4","71","40","11885","15.9","38.198","1","77.5","1"
"CLOBETASOL","Asthma","4","18","137","11841","15.896","41.206","1","8.5","0"
"CIPROFLOXACIN","Agitation","3","45","47","11905","15.894","26.667","1","10.0","0"
"GOLD","Nausea","7","5","440","11548","15.893","85.223","1","73.0","1"
"BACTRIM","Thrombocytopenia","6","49","82","11863","15.891","65.178","1","14.5","0"
"QUETIAPINE FUMARATE","Dry mouth","3","52","41","11904","15.891","26.411","1","67.0","1"
"PREDNISONE","Bursitis","13","753","12","11222","15.888","79.754","1","70.0","1"
"SPIRONOLACTONE","Hyperkalaemia","5","157","23","11815","15.886","45.671","1","12.0","0"
"BERINERT","Malaise","7","13","264","11716","15.883","83.004","1","73.0","1"
"CHOLECALCIFEROL","Systemic lupus erythematosus","8","122","46","11824","15.88","83.008","1","52.0","1"
"HUMIRA","Migraine","9","98","63","11830","15.879","97.632","1","70.0","1"
"HUMIRA","Amnesia","4","103","28","11865","15.879","36.641","1","71.5","1"
"LIPITOR","Cerebrovascular accident","4","55","51","11890","15.874","38.94","1","42.5","1"
"MYCOPHENOLATE MOFETIL","Arrhythmia","3","169","13","11815","15.869","22.84","1","5.0","0"
"TEDUGLUTIDE","Weight increased","4","16","151","11829","15.868","41.279","1","8.5","0"
"CORTISONE ACETATE","Rash","13","17","327","11643","15.862","164.741","1","77.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Rash","4","5","336","11655","15.861","42.53","1","80.5","1"
"RIBOFLAVIN","Rash","4","5","336","11655","15.861","42.53","1","86.5","1"
"CYANOCOBALAMIN","Wheezing","4","41","67","11888","15.861","39.658","1","61.5","1"
"HYDROCORTISONE","Abdominal discomfort","14","91","100","11795","15.86","159.604","1","66.5","1"
"FOLIC ACID","Sciatica","4","265","11","11720","15.858","30.488","1","59.0","1"
"SPRAVATO","Hospitalisation","7","55","85","11853","15.857","77.35","1","1.0","0"
"RITUXIMAB","Gastrointestinal disorder","20","212","64","11704","15.851","202.062","1","59.0","1"
"GLUCOSAMINE","Arthralgia","7","11","294","11688","15.849","83.238","1","67.0","1"
"IBUPROFEN","Grip strength decreased","3","220","10","11767","15.843","21.536","1","48.0","1"
"IBUPROFEN","Hip arthroplasty","3","220","10","11767","15.843","21.536","1","46.0","1"
"IBUPROFEN","Joint dislocation","3","220","10","11767","15.843","21.536","1","46.0","1"
"CARVEDILOL","Pulmonary oedema","3","95","23","11879","15.841","24.904","1","10.0","0"
"ISOPROPYL ALCOHOL","Malaise","8","15","263","11714","15.84","96.166","1","76.0","1"
"ETANERCEPT","Gastrointestinal disorder","3","25","81","11891","15.836","27.338","1","48.0","1"
"CALCIUM","Taste disorder","5","139","26","11830","15.833","46.484","1","91.0","1"
"RISEDRONATE SODIUM","Drug hypersensitivity","3","13","142","11842","15.824","27.895","1","56.0","1"
"RITUXAN","Drug hypersensitivity","3","13","142","11842","15.824","27.895","1","52.0","1"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Musculoskeletal stiffness","3","39","54","11904","15.817","26.748","1","75.0","1"
"AZATHIOPRINE","Lung disorder","5","94","38","11863","15.817","49.016","1","73.0","1"
"HYDROXYCHLOROQUINE SULFATE","Drug hypersensitivity","9","41","136","11814","15.816","104.89","1","78.0","1"
"DICLOFENAC SODIUM","Fluid retention","3","70","31","11896","15.811","25.653","1","62.0","1"
"DICLOFENAC SODIUM","Osteoporosis","3","70","31","11896","15.811","25.653","1","46.0","1"
"REMICADE","Insomnia","13","52","151","11784","15.808","154.721","1","70.0","1"
"CORTISONE ACETATE","Fall","8","22","202","11768","15.802","94.555","1","73.0","1"
"MINOCYCLINE HYDROCHLORIDE","Fall","3","8","207","11782","15.796","28.179","1","73.0","1"
"QUETIAPINE FUMARATE","Psoriasis","4","51","55","11890","15.795","38.94","1","54.0","1"
"VENTOLIN","Illness","11","35","181","11773","15.793","132.145","1","11.0","0"
"OTEZLA","Hypertension","7","27","156","11810","15.792","80.26","1","73.0","1"
"TRIAMCINOLONE ACETONIDE","Paraesthesia","6","57","72","11865","15.79","64.03","1","79.5","1"
"GEMCITABINE HYDROCHLORIDE","Malignant neoplasm progression","3","20","99","11878","15.78","27.45","1","3.0","0"
"TIZANIDINE","Feeling abnormal","3","20","99","11878","15.78","27.45","1","6.0","0"
"METFORMIN HYDROCHLORIDE","Anti-cyclic citrullinated peptide antibody positive","3","110","20","11867","15.779","24.349","1","84.0","1"
"OXYGEN","Pericardial effusion","3","110","20","11867","15.779","24.349","1","18.0","0"
"SULFASALAZINE","Infection","10","73","91","11826","15.778","112.609","1","47.0","1"
"CETIRIZINE HYDROCHLORIDE","Weight increased","17","76","138","11769","15.772","198.932","1","52.0","1"
"CHLORHEXIDINE","Weight increased","3","12","152","11833","15.77","27.846","1","70.0","1"
"SULFAMETHOXAZOLE AND TRIMETHOPRIM","Weight increased","3","12","152","11833","15.77","27.846","1","89.0","1"
"CODEINE","Depression","5","28","115","11852","15.767","53.373","1","46.0","1"
"DIGOXIN","Migraine","3","30","69","11898","15.767","26.999","1","17.0","0"
"VITAMINS NOS","Migraine","3","30","69","11898","15.767","26.999","1","14.0","0"
"LONSURF","Death","3","4","326","11667","15.766","28.557","1","10.0","0"
"ACETAMINOPHEN AND CODEINE","Insomnia","4","15","160","11821","15.764","41.061","1","78.5","1"
"TRAMADOL","Disorientation","3","81","27","11889","15.762","25.211","1","11.0","0"
"HYDROXYCHLOROQUINE","Confusional state","14","83","109","11794","15.761","160.222","1","74.0","1"
"FLUMETHASONE PIVALATE","Headache","11","11","380","11598","15.761","138.269","1","73.0","1"
"AMBIEN","Feeling abnormal","4","27","98","11871","15.759","40.198","1","14.0","0"
"DESOXIMETASONE","Crohn^s disease","3","31","67","11899","15.759","26.944","1","48.0","1"
"BUSPIRONE HCL","Anxiety","3","11","163","11823","15.757","27.883","1","24.0","0"
"CORTISONE ACETATE","Asthenia","9","21","228","11742","15.75","107.93","1","77.0","1"
"FOLIC ACID","Sleep disorder","13","256","36","11695","15.748","121.559","1","75.0","1"
"FOLIC ACID","Stomatitis","13","256","36","11695","15.748","121.559","1","70.0","1"
"OXYCODONE HYDROCHLORIDE","Hepatic enzyme increased","6","71","59","11864","15.747","62.684","1","74.0","1"
"RAMIPRIL","Confusional state","17","104","106","11773","15.745","191.629","1","67.0","1"
"MEROPENEM","Febrile neutropenia","3","35","60","11902","15.739","26.753","1","13.0","0"
"ERGOCALCIFEROL","Depression","6","34","114","11846","15.737","65.901","1","74.0","1"
"TRAMADOL HYDROCHLORIDE","Nasopharyngitis","12","37","186","11765","15.735","144.344","1","73.0","1"
"TRAMADOL HYDROCHLORIDE","Peripheral swelling","8","41","124","11827","15.735","91.272","1","73.0","1"
"HYDROCORTISONE","Oedema","5","100","36","11859","15.734","48.392","1","70.0","1"
"HYDROXYCHLOROQUINE","Peripheral swelling","15","82","117","11786","15.732","172.389","1","73.0","1"
"CETIRIZINE HYDROCHLORIDE","Gastrooesophageal reflux disease","7","86","57","11850","15.723","73.638","1","73.0","1"
"TOFACITINIB CITRATE","Pain","8","12","305","11675","15.711","96.009","1","61.5","1"
"LIDOCAINE","Cardiac disorder","3","57","38","11902","15.711","25.91","1","52.0","1"
"PEMETREXED","Oedema","3","57","38","11902","15.711","25.91","1","2.0","0"
"COSENTYX","Injection site mass","3","88","25","11884","15.704","24.894","1","4.0","0"
"PANTOPRAZOLE SODIUM","Pericarditis","6","145","30","11819","15.694","57.118","1","65.5","1"
"PANTOPRAZOLE SODIUM","Helicobacter infection","4","147","20","11829","15.694","34.365","1","65.5","1"
"PANTOPRAZOLE SODIUM","Live birth","4","147","20","11829","15.694","34.365","1","66.5","1"
"AIMOVIG","Insomnia","7","27","157","11809","15.692","79.702","1","73.0","1"
